"","G","R","total_cost","gamma2","bias","mse","coverage"
"2229",53,14,9540,2.3,0.00364131119045585,0.17128800885897,0.94
"2230",54,14,9720,2.3,0.0232961562903227,0.204440418926884,0.9
"2231",55,14,9900,2.3,0.0294247662976089,0.149302511811461,0.96
"2232",56,13,9520,2.3,0.0308460598325669,0.192358049694288,0.95
"2233",57,13,9690,2.3,-0.0042052305067769,0.19130828858256,0.91
"2234",58,13,9860,2.3,0.032135448570213,0.128304749703727,0.97
"2235",59,12,9440,2.3,0.0230333778336935,0.127623626314984,0.98
"2236",60,12,9600,2.3,-0.0860953889926826,0.151436013702613,0.92
"2237",61,12,9760,2.3,0.0629353553234122,0.181857662556322,0.93
"2238",62,12,9920,2.3,0.00977967049925277,0.138978632295364,0.98
"2239",63,11,9450,2.3,0.00176564548170022,0.119579210580742,0.98
"2240",64,11,9600,2.3,-0.0617173221357987,0.154465001666323,0.93
"2241",65,11,9750,2.3,-0.0138953406532755,0.108576599504782,1
"2242",66,11,9900,2.3,0.0496650411131679,0.125404904668285,0.95
"2243",67,10,9380,2.3,0.0091414472161846,0.162167874577496,0.96
"2244",68,10,9520,2.3,-0.00201903296237621,0.195519797981582,0.91
"2245",69,10,9660,2.3,0.0144403484551053,0.136551889875356,0.94
"2246",70,10,9800,2.3,0.0100167395196258,0.108517652540083,0.98
"2247",71,10,9940,2.3,0.0996404126419534,0.126225232633468,0.95
"2248",72,9,9360,2.3,0.00818932128525629,0.152626327938338,0.95
"2249",73,9,9490,2.3,-0.0257730879767964,0.114179474836325,0.96
"2250",74,9,9620,2.3,0.008059936573796,0.135461181410888,0.94
"2251",75,9,9750,2.3,0.0204988975279228,0.138086791640668,0.93
"2252",76,9,9880,2.3,0.0154833693175785,0.168261585207624,0.89
"2253",77,8,9240,2.3,-0.0345054197416961,0.118012960545524,0.96
"2254",78,8,9360,2.3,-0.0163029187676901,0.13819837942362,0.96
"2255",79,8,9480,2.3,-0.0362694280703149,0.167577034716962,0.9
"2256",80,8,9600,2.3,0.0726804428914968,0.134605503708086,0.92
"2257",81,8,9720,2.3,-0.0315309507601131,0.121607498796312,0.94
"2258",82,8,9840,2.3,0.0255532335608466,0.103021752734731,0.95
"2259",83,8,9960,2.3,-0.0386219559253418,0.0839206685006824,0.97
"2260",84,7,9240,2.3,0.0356869540509657,0.106732726819158,0.92
"2261",85,7,9350,2.3,0.0545200401712609,0.0976723500718995,0.94
"2262",86,7,9460,2.3,-0.0258562478624346,0.115682673294107,0.95
"2263",87,7,9570,2.3,-0.0467627624596858,0.102343665697953,0.93
"2264",88,7,9680,2.3,0.0456898386896075,0.116604591586107,0.95
"2265",89,7,9790,2.3,-0.0830045354579879,0.111431202293396,0.96
"2266",90,7,9900,2.3,-0.00457134979181117,0.12062694749793,0.95
"2267",91,6,9100,2.3,0.00817718832147485,0.100842493489738,0.96
"2268",92,6,9200,2.3,0.00172029729988266,0.105715687504895,0.95
"2269",93,6,9300,2.3,0.00977281335024738,0.0915858769996427,0.95
"2270",94,6,9400,2.3,-0.00818103785156693,0.118789500559954,0.95
"2271",95,6,9500,2.3,0.0079471298628977,0.105575495483364,0.94
"2272",96,6,9600,2.3,-0.00491490263383787,0.0884929163533451,0.96
"2273",97,6,9700,2.3,0.0138818593322471,0.0913194816993893,0.96
"2274",98,6,9800,2.3,0.0125895831009717,0.0929853212852909,0.96
"2275",99,6,9900,2.3,0.0298831504226356,0.125079130890406,0.91
