"","G","R","total_cost","alpha","bias","mse","coverage"
"482",88,7,9680,1,-0.0380573056784953,0.0309350082509902,0.93
"483",89,7,9790,1,-0.00702173763004582,0.0314681073528505,0.94
"484",90,7,9900,1,0.0416869807426633,0.0308494332915708,0.92
"485",91,6,9100,1,0.000541083256643482,0.0338358538496164,0.92
"486",92,6,9200,1,0.0417711950484133,0.0228234061185695,0.96
"487",93,6,9300,1,-0.0265482080142021,0.0300497159890414,0.95
"488",94,6,9400,1,0.000780665279918602,0.0260052329539822,0.96
"489",95,6,9500,1,0.00254155401361045,0.0326399136818045,0.94
"490",96,6,9600,1,0.00788747104529908,0.0259201785883304,0.96
"491",97,6,9700,1,-0.0207634489795671,0.0251147515385753,0.94
"492",98,6,9800,1,0.00930090776234926,0.0355812887466542,0.89
"493",99,6,9900,1,0.0225395812935723,0.0300471765392074,0.95
"494",100,6,10000,1,-0.0158788855118689,0.0228773007461976,0.95
"495",101,5,9090,1,-0.00353687741770253,0.0271027646927107,0.95
"496",102,5,9180,1,-0.0110323561224319,0.0228204935829638,0.99
"497",103,5,9270,1,0.00745421156611059,0.0237087495129846,0.97
"498",104,5,9360,1,-0.0118920594153406,0.0257957975781716,0.95
"499",105,5,9450,1,0.00731045159411314,0.0303281198083239,0.93
"500",106,5,9540,1,0.00953519542276571,0.0288504887505522,0.94
"501",107,5,9630,1,0.00485742231823882,0.0277177544302897,0.93
"502",108,5,9720,1,-0.012047025657001,0.0258876186519273,0.95
"503",109,5,9810,1,-0.002536077572382,0.0222633771330578,0.96
"504",110,5,9900,1,-0.00560524690936903,0.0280100979128148,0.93
"505",111,5,9990,1,-0.0191324910699598,0.0285849745561286,0.92
"506",112,4,8960,1,0.0213304867210172,0.0350506478988667,0.93
"507",113,4,9040,1,0.00454665206734117,0.0263729316663951,0.93
"508",114,4,9120,1,-0.00280788044642316,0.0284610863228999,0.95
"509",115,4,9200,1,-0.00407780960231952,0.0353919631124089,0.9
"510",116,4,9280,1,0.000842564406416502,0.0268743949389806,0.93
"511",117,4,9360,1,0.00761369313632532,0.0242236194322773,0.94
"512",118,4,9440,1,-0.014557963392814,0.0221591698974782,0.97
"513",119,4,9520,1,-0.0375345093224816,0.0276175753984214,0.93
"514",120,4,9600,1,0.00607989494537331,0.0337422051251156,0.91
"515",121,4,9680,1,0.0161587121742812,0.0219843692413262,0.96
"516",122,4,9760,1,0.00817959960339765,0.0265563648323291,0.93
"517",123,4,9840,1,0.0183939935716418,0.0277631260065178,0.96
"518",124,4,9920,1,-0.000861468890186512,0.0209305459862067,0.96
"519",125,4,10000,1,0.000884034503138564,0.0186540548221506,0.97
"520",126,3,8820,1,-0.00105281139719438,0.034640723281022,0.93
"521",127,3,8890,1,0.00459658164350685,0.0266417258468197,0.97
"522",128,3,8960,1,-0.0373883379272154,0.0324481531573794,0.89
"523",129,3,9030,1,0.010407284794416,0.0199573180325355,0.99
"524",130,3,9100,1,-0.00873730693052716,0.0234737001542436,0.91
"525",131,3,9170,1,-0.0403376226857191,0.0310176346559042,0.92
"526",132,3,9240,1,-0.000453237872861723,0.0279193439877242,0.92
"527",133,3,9310,1,0.0106600734467129,0.028083787432744,0.94
"528",134,3,9380,1,0.0295377883350836,0.0192432004807359,0.99
"529",135,3,9450,1,0.0376687615509367,0.0220142284555023,0.94
"530",136,3,9520,1,0.0269033921608868,0.0248506235316311,0.97
"531",137,3,9590,1,-0.00719495935448972,0.0195137887652435,0.97
"532",138,3,9660,1,-0.0117270773855971,0.0293346693391161,0.92
"533",139,3,9730,1,0.0116528436788178,0.0225018952896221,0.96
"534",140,3,9800,1,-0.018938806220353,0.0285287113402998,0.92
"535",141,3,9870,1,-0.0144067182624009,0.0264858984166379,0.94
"536",142,3,9940,1,0.0082124218666757,0.0229849428450588,0.96
"537",143,2,8580,1,-0.0182398975880277,0.0317109583307936,0.95
"538",144,2,8640,1,0.0262409287265878,0.0262042509079599,0.96
"539",145,2,8700,1,-0.0123466596482045,0.025982852187737,0.97
"540",146,2,8760,1,0.00598254219975003,0.0298789065743712,0.94
"541",147,2,8820,1,0.0282672426341833,0.0282234777468356,0.96
"542",148,2,8880,1,0.0129282711930019,0.0228834236810826,0.94
"543",149,2,8940,1,-0.00572175681842418,0.0334228931687303,0.91
"544",150,2,9000,1,-0.0179928513468904,0.0255513592508638,0.99
"545",151,2,9060,1,-0.0187686184176452,0.024510006069124,0.97
"546",152,2,9120,1,0.0250619742895823,0.0252201229040678,0.97
"547",153,2,9180,1,-0.0102805186967521,0.0227426335359315,0.95
"548",154,2,9240,1,0.0045054437714509,0.0245051273386756,0.95
"549",155,2,9300,1,0.015066582415875,0.0297702395364602,0.92
"550",156,2,9360,1,0.00767537549260755,0.0244378534330676,0.96
"551",157,2,9420,1,-0.0418293855611974,0.027572289236992,0.95
"552",158,2,9480,1,0.0204912489193695,0.0231946057338559,0.96
"553",159,2,9540,1,-0.00427120312285356,0.0222185584228869,0.94
"554",160,2,9600,1,0.00969177164394852,0.0198164179168753,0.98
"555",161,2,9660,1,0.00102037852678649,0.0222634276590081,0.97
"556",162,2,9720,1,-0.0125194418762491,0.0211093347836385,0.97
"557",163,2,9780,1,-0.0237777983438674,0.023816788082953,0.91
"558",164,2,9840,1,-0.00776739556548872,0.0204623292313779,0.95
"559",165,2,9900,1,-0.00935208042576069,0.0207413246036406,0.97
"560",166,2,9960,1,0.0128925998281172,0.0216174148249527,0.98
"561",167,1,8350,1,-0.0192337742749671,0.0371893981218578,0.94
"562",168,1,8400,1,-0.00431972385925372,0.0375341317267908,0.94
"563",169,1,8450,1,0.0182982551233626,0.0458859280363259,0.93
"564",170,1,8500,1,0.0235699382427466,0.0401034245336801,0.96
"565",171,1,8550,1,0.00248657606548697,0.0444454713096184,0.88
"566",172,1,8600,1,0.00201262601987717,0.0323563804953211,0.96
"567",173,1,8650,1,-0.0337146186389748,0.03083189052006,0.96
"568",174,1,8700,1,-0.0161446122391711,0.0392718547007121,0.92
"569",175,1,8750,1,0.0140842367423631,0.0273760580158808,0.96
"570",176,1,8800,1,0.0183609552046798,0.0300561107153392,0.95
"571",177,1,8850,1,0.0181356776074628,0.0246090741007548,0.98
"572",178,1,8900,1,-0.00688945948499958,0.0340512470931124,0.94
"573",179,1,8950,1,0.000304136115927611,0.0342555316445817,0.97
"574",180,1,9000,1,0.0250288280814176,0.0328622697081449,0.97
"575",181,1,9050,1,-0.00142946542323047,0.040550372300578,0.91
"576",182,1,9100,1,-0.0109608268744809,0.0283548115477552,0.98
"577",183,1,9150,1,-0.021479564817393,0.0292015835489064,0.98
"578",184,1,9200,1,-0.0116269485346915,0.039095890292514,0.91
"579",185,1,9250,1,-0.00930173552927122,0.0299610814479304,0.96
"580",186,1,9300,1,-0.0161933436265417,0.0339879550211704,0.97
"581",187,1,9350,1,-0.00545266246083187,0.0314944531521733,0.96
"582",188,1,9400,1,-0.00422098779652536,0.0336079683607708,0.92
"583",189,1,9450,1,-0.0179405037654043,0.0344536235301519,0.94
"584",190,1,9500,1,0.015284334777469,0.0323448786021119,0.94
"585",191,1,9550,1,-0.0057742933168341,0.035118925377134,0.94
"586",192,1,9600,1,-0.0135010792807052,0.0251927660278277,0.97
"587",193,1,9650,1,0.00623138025238357,0.0267972495459459,0.96
"588",194,1,9700,1,-0.0176261265093401,0.0249766227558721,0.97
"589",195,1,9750,1,-0.0236311918948893,0.0268068593844067,0.96
"590",196,1,9800,1,0.0133057396944697,0.0278276020266032,0.98
"591",197,1,9850,1,-0.00998850417317637,0.0290109713853384,0.93
"592",198,1,9900,1,0.0105991174601692,0.0335118024844376,0.9
"593",199,1,9950,1,-0.0208012100908824,0.0241705525553665,0.97
"594",200,1,10000,1,-0.0247399621613713,0.0288128844983858,0.94
"595",3,329,9990,1.5,0.0883082167349978,0.903481155125037,0.46
"596",4,246,10000,1.5,-0.0143732601337369,0.646817584974401,0.63
"597",5,196,10000,1.5,0.0466196622916735,0.461224322577767,0.76
"598",6,162,9960,1.5,-0.0933111217992199,0.345548229390812,0.82
"599",7,138,9940,1.5,-0.035014021952422,0.324490791599571,0.82
"600",8,121,10000,1.5,-0.0133668702168531,0.293039391732263,0.87
"601",9,107,9990,1.5,-0.00090860563102918,0.226851260528599,0.86
"602",10,96,10000,1.5,0.0189742146247903,0.223699940869837,0.9
"603",11,86,9900,1.5,-0.00859459955513353,0.228268758913636,0.86
"604",12,79,9960,1.5,-0.0868722943938392,0.190838637275864,0.88
"605",13,72,9880,1.5,0.0400923224183789,0.179798558454719,0.9
"606",14,67,9940,1.5,-0.0718980707880171,0.158459119549694,0.92
"607",15,62,9900,1.5,-0.0111796791605026,0.191355609123307,0.89
"608",16,58,9920,1.5,-0.0274459285819456,0.0982307696558832,0.95
"609",17,54,9860,1.5,-0.0108381441702597,0.103775701300806,0.91
"610",18,51,9900,1.5,0.0230753852647425,0.135626219646674,0.93
"611",19,48,9880,1.5,-0.0217408483567217,0.103972999604342,0.94
"612",20,46,10000,1.5,-0.004734805824817,0.0905364938854595,0.95
"613",21,43,9870,1.5,0.0381650987357933,0.11220387700125,0.92
"614",22,41,9900,1.5,0.0436075577306894,0.100620685235591,0.93
"615",23,39,9890,1.5,0.00668298957468283,0.0953645063238299,0.95
"616",24,37,9840,1.5,0.0125555001982723,0.0708072424926829,0.96
"617",25,36,10000,1.5,-0.0138929610743463,0.115975670850897,0.9
"618",26,34,9880,1.5,-0.00374188235744205,0.0743766570752238,0.96
"619",27,33,9990,1.5,-0.0127844983253132,0.0665803348123374,0.96
"620",28,31,9800,1.5,0.00827758357225172,0.0734538201067912,0.93
"621",29,30,9860,1.5,-0.0577202829542684,0.0837135330301231,0.96
"622",30,29,9900,1.5,0.00243527855241454,0.083147529445589,0.91
"623",31,28,9920,1.5,-0.0335461157268633,0.0729186885293939,0.96
"624",32,27,9920,1.5,0.00574539600579282,0.0678286034905002,0.94
"625",33,26,9900,1.5,0.00175417972069636,0.0515639353493719,0.98
"626",34,25,9860,1.5,-0.00126212606851062,0.0507147950521876,0.95
"627",35,24,9800,1.5,-0.0158616867169449,0.060586444610687,0.95
"628",36,23,9720,1.5,-0.00114627645168225,0.0545438773130654,0.95
"629",37,23,9990,1.5,0.0362070689299602,0.0452324530555701,0.97
"630",38,22,9880,1.5,-0.0117710687563631,0.0666426130157998,0.93
"631",39,21,9750,1.5,0.0353385956463904,0.0693154922757527,0.92
"632",40,21,10000,1.5,0.0142047304561939,0.0589348928366737,0.96
"633",41,20,9840,1.5,0.0208674355116236,0.0576372983586953,0.94
"634",42,19,9660,1.5,0.0174413696554292,0.0572329353917707,0.97
"635",43,19,9890,1.5,-0.00927534949555131,0.0488059935371079,0.95
"636",44,18,9680,1.5,-0.0253833299916704,0.0539112060519784,0.92
"637",45,18,9900,1.5,0.00200367712444416,0.049157282851333,0.92
"638",46,17,9660,1.5,0.000928819247133728,0.0509840328539229,0.94
"639",47,17,9870,1.5,-0.0192681954063867,0.0441916947371511,0.94
"640",48,16,9600,1.5,-0.0149575513453425,0.0468125453054901,0.96
"641",49,16,9800,1.5,0.0412665691693422,0.0480275207205779,0.93
