"","G","R","total_cost","sigma2","bias","mse","coverage"
"636",44,18,9680,0.7,0.0169020943673823,0.0408994224357739,0.95
"637",45,18,9900,0.7,0.034075580431474,0.0539789999766137,0.95
"638",46,17,9660,0.7,-0.00940511876496197,0.05451938277202,0.92
"639",47,17,9870,0.7,0.0189652098302836,0.0489553633629657,0.94
"640",48,16,9600,0.7,-0.0371297111617153,0.0549700280021791,0.93
"641",49,16,9800,0.7,0.0411200455288562,0.0633509918944813,0.93
"642",50,16,10000,0.7,-0.00537049707424908,0.0473008305668195,0.95
"643",51,15,9690,0.7,0.0221965919979941,0.0400904371552243,0.94
"644",52,15,9880,0.7,0.0272549797409933,0.0409762423273029,0.97
"645",53,14,9540,0.7,-0.0167074024583216,0.0361548076013251,0.94
"646",54,14,9720,0.7,-0.0552088378007318,0.0351753772877208,0.97
"647",55,14,9900,0.7,-0.0150234441390745,0.0345509344864256,0.97
"648",56,13,9520,0.7,0.0184456721749786,0.0445748715730393,0.91
"649",57,13,9690,0.7,0.00835351691378161,0.0366350285096063,0.96
"650",58,13,9860,0.7,0.0155025917433591,0.0291750478389166,0.99
"651",59,12,9440,0.7,-0.0127851497446086,0.0391298306733913,0.96
"652",60,12,9600,0.7,-0.0194119142464848,0.0329461432672462,0.96
"653",61,12,9760,0.7,-0.0126365071372136,0.0424148090445666,0.94
"654",62,12,9920,0.7,-0.00541274382709694,0.0426700354848277,0.94
"655",63,11,9450,0.7,0.0299757271340656,0.0398632805299283,0.91
"656",64,11,9600,0.7,-0.01813015182708,0.0460103466617664,0.91
"657",65,11,9750,0.7,0.00248036064057511,0.0346896472677785,0.96
"658",66,11,9900,0.7,0.0247308479941039,0.0308473169278527,0.98
"659",67,10,9380,0.7,-0.00765888335326476,0.0341740912903053,0.92
"660",68,10,9520,0.7,0.0203725041157702,0.0310523736253814,0.95
"661",69,10,9660,0.7,-0.0120721469442314,0.030082750692752,0.95
"662",70,10,9800,0.7,0.0093072555617798,0.0324222203697807,0.95
"663",71,10,9940,0.7,0.0156751516842097,0.0386909989493161,0.94
"664",72,9,9360,0.7,0.0280662570409811,0.0392029659933091,0.92
"665",73,9,9490,0.7,0.0161167825043483,0.0378521856678037,0.92
"666",74,9,9620,0.7,-0.0140670375913244,0.0310236620144275,0.93
"667",75,9,9750,0.7,-0.0448157164535168,0.0339252407946579,0.95
"668",76,9,9880,0.7,0.0153447408614686,0.0277217731038885,0.96
"669",77,8,9240,0.7,-0.00922338331770861,0.0308893881289732,0.93
"670",78,8,9360,0.7,-0.0066650962570971,0.030515450443305,0.92
"671",79,8,9480,0.7,-0.00763740760639375,0.0319304923690083,0.92
"672",80,8,9600,0.7,0.0120089734707873,0.0273993196075967,0.95
"673",81,8,9720,0.7,-0.01199487638233,0.0312113982439526,0.94
"674",82,8,9840,0.7,0.0133425538747411,0.0274460919143048,0.96
"675",83,8,9960,0.7,0.00879831583076818,0.0285126717811686,0.93
"676",84,7,9240,0.7,0.0117974900496524,0.026574336175434,0.96
"677",85,7,9350,0.7,0.000256766637563688,0.0296360351307478,0.95
"678",86,7,9460,0.7,0.0248616006442823,0.0221092403898466,0.97
"679",87,7,9570,0.7,-0.0060440228315497,0.0203624763704676,0.98
"680",88,7,9680,0.7,-0.0206755020086383,0.0230126357934857,0.97
"681",89,7,9790,0.7,0.000261570293878521,0.0323278353203386,0.92
"682",90,7,9900,0.7,0.0237623969572149,0.0280272990162025,0.95
"683",91,6,9100,0.7,0.0120915209676249,0.0278712438126738,0.94
"684",92,6,9200,0.7,0.00371385663065049,0.0252322178979407,0.94
"685",93,6,9300,0.7,-0.00322833052377131,0.0232185057323803,0.97
"686",94,6,9400,0.7,0.00969009340288174,0.026485467027605,0.96
"687",95,6,9500,0.7,-0.0250449175441427,0.0233607742755024,0.96
"688",96,6,9600,0.7,-0.0185435334437865,0.0280962973033688,0.93
"689",97,6,9700,0.7,0.0049983761130783,0.0265713158212341,0.93
"690",98,6,9800,0.7,0.010034863680822,0.028878505845212,0.95
"691",99,6,9900,0.7,0.0167748840074815,0.0205696606588861,0.97
"692",100,6,10000,0.7,-0.0144096490854833,0.0219092349513903,0.96
"693",101,5,9090,0.7,0.00380295176109402,0.0259038366715117,0.97
"694",102,5,9180,0.7,-0.0111615756979375,0.0200932510250329,0.96
"695",103,5,9270,0.7,0.0197565702046708,0.0197554819920143,0.97
"696",104,5,9360,0.7,-0.000528412864518324,0.0283842362232309,0.93
"697",105,5,9450,0.7,0.0119208759412655,0.0245188017472754,0.93
"698",106,5,9540,0.7,0.0046150094161781,0.0243748225181366,0.92
"699",107,5,9630,0.7,0.00595217442990015,0.0217696992847334,0.98
