"","G","R","total_cost","gamma2","bias","mse","coverage"
"516",122,4,9760,0.5,0.00425826976253607,0.0226599234461914,0.95
"517",123,4,9840,0.5,0.00520109908454358,0.0197083569852642,0.97
"518",124,4,9920,0.5,-0.000421785959479892,0.022485457945592,0.92
"519",125,4,10000,0.5,0.00155464258682114,0.0201183413663875,0.95
"520",126,3,8820,0.5,0.00724838196321698,0.0164457273359211,0.95
"521",127,3,8890,0.5,-0.000421735958497482,0.0222757885691986,0.93
"522",128,3,8960,0.5,0.00656805769805568,0.0194678334669724,0.93
"523",129,3,9030,0.5,-0.00150459762100036,0.0156597451746029,0.96
"524",130,3,9100,0.5,0.00263441865897074,0.0203509289587361,0.95
"525",131,3,9170,0.5,0.00306001130599365,0.0236651174960846,0.95
"526",132,3,9240,0.5,0.0142581372295653,0.0191808020250483,0.9
"527",133,3,9310,0.5,0.00713306412110204,0.0211338124817142,0.89
"528",134,3,9380,0.5,0.0101690380271804,0.021263263403703,0.93
"529",135,3,9450,0.5,0.0217626538033385,0.0188881256606505,0.96
"530",136,3,9520,0.5,0.0238626936126305,0.0216073679611591,0.95
"531",137,3,9590,0.5,0.00482552325136054,0.0178392974812033,0.93
"532",138,3,9660,0.5,0.000457515612720782,0.0206957442776915,0.95
"533",139,3,9730,0.5,-0.00997285022743716,0.0205510754581883,0.93
"534",140,3,9800,0.5,0.0105558501643532,0.0152611509697758,0.98
"535",141,3,9870,0.5,-0.0119268139873504,0.0188054748236517,0.96
"536",142,3,9940,0.5,0.0069824619116613,0.0178990795184016,0.94
"537",143,2,8580,0.5,0.00645862317080403,0.0232746795495672,0.9
"538",144,2,8640,0.5,0.00714479903648291,0.0199295893060049,0.94
"539",145,2,8700,0.5,0.0294105827731872,0.0226271333377225,0.89
"540",146,2,8760,0.5,-0.0159529540764649,0.0165710708094933,0.96
"541",147,2,8820,0.5,-0.0113638103550847,0.0167510088644092,0.95
"542",148,2,8880,0.5,0.00865579555822238,0.0161178721525483,0.96
"543",149,2,8940,0.5,0.0025737208804103,0.018646814895674,0.93
"544",150,2,9000,0.5,-0.00679057860350735,0.0140942330374139,0.98
"545",151,2,9060,0.5,-0.015634380527289,0.0109710208456636,0.98
"546",152,2,9120,0.5,-0.00829493169876327,0.0172069408022437,0.95
"547",153,2,9180,0.5,0.00198702974655662,0.0192237452398033,0.92
"548",154,2,9240,0.5,0.000622130925385211,0.0144913954904293,0.94
"549",155,2,9300,0.5,-0.00615105442560188,0.0137388462263243,0.92
"550",156,2,9360,0.5,0.0117071149527755,0.0166269623876468,0.94
"551",157,2,9420,0.5,-0.00736658079635721,0.0178916957808966,0.94
"552",158,2,9480,0.5,0.0113830421715753,0.0168953293362231,0.95
"553",159,2,9540,0.5,-0.00173394043056041,0.013474997519334,0.97
"554",160,2,9600,0.5,0.00692512862669481,0.015225143652388,0.97
"555",161,2,9660,0.5,-0.00652161806405999,0.0173174999193777,0.92
"556",162,2,9720,0.5,0.00431550377089995,0.0166302268234129,0.96
"557",163,2,9780,0.5,0.0195823993933477,0.0146576270678295,0.95
"558",164,2,9840,0.5,0.0118481480663704,0.0151708699131641,0.96
"559",165,2,9900,0.5,-0.00726552793917534,0.0177459534381217,0.93
"560",166,2,9960,0.5,-0.0219349764602143,0.0176555742499354,0.92
"561",167,1,8350,0.5,0.0067604850806815,0.0143213900461703,0.98
"562",168,1,8400,0.5,-0.00322415895057415,0.013089115660564,0.94
"563",169,1,8450,0.5,-0.0299132017220702,0.0167302056145024,0.94
"564",170,1,8500,0.5,-0.0235972425813271,0.0151830045148538,0.95
"565",171,1,8550,0.5,0.00441982282657194,0.0147664711112497,0.97
"566",172,1,8600,0.5,0.00606953450086722,0.0123856840142871,0.96
"567",173,1,8650,0.5,0.0141250414445504,0.0128132155881403,0.95
"568",174,1,8700,0.5,-0.027173044201471,0.0129012385760757,0.96
"569",175,1,8750,0.5,-0.0101600447178538,0.0163155653849786,0.92
"570",176,1,8800,0.5,-0.0149956815474645,0.0216418071664353,0.89
"571",177,1,8850,0.5,-0.000669925341401201,0.0164159452177588,0.93
"572",178,1,8900,0.5,0.00385302656875219,0.0142927250916776,0.95
"573",179,1,8950,0.5,-0.0101262719289076,0.0128900243267043,0.96
"574",180,1,9000,0.5,-0.000391871143972655,0.0107725175783938,1
"575",181,1,9050,0.5,-0.0063916705126203,0.0147062477153421,0.92
"576",182,1,9100,0.5,0.00787947383405363,0.0152079314945623,0.94
"577",183,1,9150,0.5,0.00814643409784788,0.0110214764992364,0.97
"578",184,1,9200,0.5,0.00492684564657109,0.014972219633902,0.95
"579",185,1,9250,0.5,-0.0115414906986359,0.0183715949226638,0.92
"580",186,1,9300,0.5,-0.0129883786168342,0.0116719756757146,0.97
"581",187,1,9350,0.5,0.00913747517425212,0.0161886330075322,0.93
"582",188,1,9400,0.5,0.00139058021206817,0.0114072089889051,0.99
"583",189,1,9450,0.5,-0.00278889443823788,0.016892722519298,0.9
"584",190,1,9500,0.5,0.00259715616078748,0.0150684066468692,0.94
"585",191,1,9550,0.5,-0.0268643138272752,0.0148761207350988,0.91
"586",192,1,9600,0.5,0.0106412828357838,0.0104148099939444,0.97
"587",193,1,9650,0.5,-0.00845064755450187,0.0171036217993369,0.9
"588",194,1,9700,0.5,-0.0127768626840555,0.013448671042615,0.95
"589",195,1,9750,0.5,-0.00968004430720509,0.00819951440802019,0.98
"590",196,1,9800,0.5,-0.00502861482233685,0.0159673379834973,0.91
"591",197,1,9850,0.5,-0.00742510075632447,0.0135343353375174,0.96
"592",198,1,9900,0.5,0.0120085186193377,0.0126744454494871,0.95
"593",199,1,9950,0.5,-0.0157312550322376,0.0144572364358069,0.93
"594",200,1,10000,0.5,0.0052902923699446,0.0111492838292735,0.96
